"interElementDistance [mm]","Freq [GHz]","cang_deg(St(port2_T1,port1_T1)) [deg]"
10,9.95,-37.5567458502584
10,9.951,-38.1760165048177
10,9.952,-38.7973804970887
10,9.953,-39.4208157649992
10,9.954,-40.0462996980023
10,9.955,-40.6738091391813
10,9.956,-41.3033203876785
10,9.957,-41.9348092014636
10,9.958,-42.5682508004231
10,9.959,-43.2036198697838
10,9.96,-43.8408905638701
10,9.961,-44.4800365101884
10,9.962,-45.1210308138441
10,9.963,-45.7638460622894
10,9.964,-46.4084543303947
10,9.965,-47.0548271858515
10,9.966,-47.7029356948915
10,9.967,-48.3527504283386
10,9.968,-49.0042414679681
10,9.969,-49.6573784131849
10,9.97,-50.312130388015
10,9.971,-50.9684660483993
10,9.972,-51.626353589794
10,9.973,-52.285760755065
10,9.974,-52.9466548426764
10,9.975,-53.6090027151658
10,9.976,-54.2727708078966
10,9.977,-54.9379251380924
10,9.978,-55.6044313141298
10,9.979,-56.2722545451001
10,9.98,-56.9413596506208
10,9.981,-57.6117110708939
10,9.982,-58.2832728770047
10,9.983,-58.9560087814522
10,9.984,-59.6298821488995
10,9.985,-60.3048560071427
10,9.986,-60.9808930582815
10,9.987,-61.6579556900953
10,9.988,-62.3360059875992
10,9.989,-63.0150057447871
10,9.99,-63.6949164765422
10,9.991,-64.3756994307095
10,9.992,-65.057315600324
10,9.993,-65.7397257359781
10,9.994,-66.4228903583262
10,9.995,-67.1067697707133
10,9.996,-67.7913240719153
10,9.997,-68.4765131689924
10,9.998,-69.1622967902316
10,9.999,-69.8486344981794
10,10,-70.53548570275
10,10.001,-71.2228096744048
10,10.002,-71.9105655573873
10,10.003,-72.5987123830072
10,10.004,-73.2872090829682
10,10.005,-73.9760145027222
10,10.006,-74.6650874148472
10,10.007,-75.3543865324398
10,10.008,-76.0438705225107
10,10.009,-76.7334980193694
10,10.01,-77.4232276380083
10,10.011,-78.113017987453
10,10.012,-78.8028276840812
10,10.013,-79.4926153649186
10,10.014,-80.1823397008691
10,10.015,-80.8719594098983
10,10.016,-81.5614332701557
10,10.017,-82.2507201330229
10,10.018,-82.9397789360831
10,10.019,-83.6285687160055
10,10.02,-84.3170486213381
10,10.021,-85.0051779251986
10,10.022,-85.6929160378527
10,10.023,-86.3802225191902
10,10.024,-87.0670570910641
10,10.025,-87.7533796495141
10,10.026,-88.4391502768506
10,10.027,-89.124329253596
10,10.028,-89.8088770702813
10,10.029,-90.4927544390894
10,10.03,-91.1759223053393
10,10.031,-91.858341858804
10,10.032,-92.5399745448523
10,10.033,-93.220782075431
10,10.034,-93.9007264398455
10,10.035,-94.579769915367
10,10.036,-95.2578750776408
10,10.037,-95.9350048108993
10,10.038,-96.6111223179759
10,10.039,-97.2861911301092
10,10.04,-97.9601751165362
10,10.041,-98.6330384938703
10,10.042,-99.304745835263
10,10.043,-99.9752620793353
10,10.044,-100.644552538888
10,10.045,-101.312582909376
10,10.046,-101.979319277151
10,10.047,-102.644728127459
10,10.048,-103.308776352207
10,10.049,-103.971431257474
10,10.05,-104.632660570781
15,9.95,-69.0224502539796
15,9.951,-69.6697197999873
15,9.952,-70.3184579161107
15,9.953,-70.9686361873597
15,9.954,-71.6202258016402
15,9.955,-72.2731975556374
15,9.956,-72.927521860909
15,9.957,-73.5831687502017
15,9.958,-74.2401078839677
15,9.959,-74.8983085570903
15,9.96,-75.5577397058167
15,9.961,-76.2183699148855
15,9.962,-76.8801674248547
15,9.963,-77.5431001396222
15,9.964,-78.2071356341332
15,9.965,-78.8722411622766
15,9.966,-79.5383836649571
15,9.967,-80.2055297783549
15,9.968,-80.8736458423484
15,9.969,-81.5426979091101
15,9.97,-82.2126517518693
15,9.971,-82.8834728738302
15,9.972,-83.5551265172512
15,9.973,-84.2275776726698
15,9.974,-84.9007910882783
15,9.975,-85.5747312794394
15,9.976,-86.2493625383358
15,9.977,-86.9246489437593
15,9.978,-87.6005543710173
15,9.979,-88.2770425019687
15,9.98,-88.9540768351728
15,9.981,-89.6316206961496
15,9.982,-90.3096372477482
15,9.983,-90.988089500617
15,9.984,-91.6669403237652
15,9.985,-92.3461524552205
15,9.986,-93.0256885127648
15,9.987,-93.7055110047585
15,9.988,-94.385582341028
15,9.989,-95.0658648438302
15,9.99,-95.7463207588742
15,9.991,-96.4269122664003
15,9.992,-97.1076014923133
15,9.993,-97.7883505193561
15,9.994,-98.4691213983256
15,9.995,-99.1498761593218
15,9.996,-99.8305768230196
15,9.997,-100.51118541197
15,9.998,-101.191663961907
15,9.999,-101.871974533072
15,10,-102.55207922153
15,10.001,-103.231940170493
15,10.002,-103.911519581626
15,10.003,-104.590779726341
15,10.004,-105.269682957062
15,10.005,-105.948191718466
15,10.006,-106.626268558684
15,10.007,-107.303876140466
15,10.008,-107.980977252287
15,10.009,-108.657534819401
15,10.01,-109.333511914838
15,10.011,-110.008871770325
15,10.012,-110.683577787126
15,10.013,-111.357593546818
15,10.014,-112.030882821957
15,10.015,-112.703409586657
15,10.016,-113.375138027067
15,10.017,-114.046032551736
15,10.018,-114.71605780186
15,10.019,-115.385178661412
15,10.02,-116.05336026713
15,10.021,-116.72056801839
15,10.022,-117.386767586907
15,10.023,-118.051924926318
15,10.024,-118.716006281584
15,10.025,-119.378978198244
15,10.026,-120.0408075315
15,10.027,-120.70146145512
15,10.028,-121.36090747017
15,10.029,-122.019113413557
15,10.03,-122.676047466377
15,10.031,-123.331678162072
15,10.032,-123.985974394373
15,10.033,-124.638905425057
15,10.034,-125.290440891465
15,10.035,-125.940550813825
15,10.036,-126.589205602336
15,10.037,-127.236376064032
15,10.038,-127.882033409421
15,10.039,-128.52614925888
15,10.04,-129.168695648813
15,10.041,-129.809645037569
15,10.042,-130.448970311119
15,10.043,-131.08664478847
15,10.044,-131.722642226846
15,10.045,-132.356936826601
15,10.046,-132.989503235881
15,10.047,-133.620316555034
15,10.048,-134.249352340743
15,10.049,-134.876586609922
15,10.05,-135.501995843328
20,9.95,-135.357597559548
20,9.951,-135.969216577393
20,9.952,-136.58195448922
20,9.953,-137.195788728217
20,9.954,-137.810696410944
20,9.955,-138.426654340834
20,9.956,-139.043639011889
20,9.957,-139.661626612588
20,9.958,-140.28059302999
20,9.959,-140.900513854048
20,9.96,-141.521364382119
20,9.961,-142.143119623691
20,9.962,-142.765754305297
20,9.963,-143.389242875648
20,9.964,-144.01355951096
20,9.965,-144.638678120482
20,9.966,-145.264572352224
20,9.967,-145.891215598893
20,9.968,-146.51858100401
20,9.969,-147.146641468232
20,9.97,-147.775369655867
20,9.971,-148.404738001569
20,9.972,-149.034718717232
20,9.973,-149.665283799058
20,9.974,-150.29640503481
20,9.975,-150.928054011241
20,9.976,-151.560202121695
20,9.977,-152.192820573878
20,9.978,-152.82588039779
20,9.979,-153.459352453822
20,9.98,-154.093207441001
20,9.981,-154.727415905386
20,9.982,-155.361948248615
20,9.983,-155.99677473658
20,9.984,-156.63186550824
20,9.985,-157.267190584561
20,9.986,-157.902719877568
20,9.987,-158.538423199525
20,9.988,-159.174270272208
20,9.989,-159.810230736282
20,9.99,-160.446274160773
20,9.991,-161.082370052621
20,9.992,-161.718487866317
20,9.993,-162.3545970136
20,9.994,-162.990666873223
20,9.995,-163.626666800779
20,9.996,-164.262566138555
20,9.997,-164.898334225446
20,9.998,-165.533940406882
20,9.999,-166.169354044784
20,10,-166.804544527534
20,10.001,-167.439481279945
20,10.002,-168.074133773231
20,10.003,-168.708471534962
20,10.004,-169.342464159001
20,10.005,-169.976081315408
20,10.006,-170.609292760309
20,10.007,-171.242068345716
20,10.008,-171.874378029295
20,10.009,-172.506191884067
20,10.01,-173.137480108042
20,10.011,-173.768213033768
20,10.012,-174.398361137793
20,10.013,-175.027895050036
20,10.014,-175.656785563048
20,10.015,-176.285003641165
20,10.016,-176.912520429537
20,10.017,-177.539307263038
20,10.018,-178.165335675034
20,10.019,-178.790577406014
20,10.02,-179.415004412073
20,10.021,-180.038588873243
20,10.022,-180.661303201649
20,10.023,-181.283120049525
20,10.024,-181.904012317024
20,10.025,-182.523953159876
20,10.026,-183.142915996848
20,10.027,-183.760874517014
20,10.028,-184.37780268684
20,10.029,-184.993674757057
20,10.03,-185.608465269344
20,10.031,-186.222149062793
20,10.032,-186.834701280159
20,10.033,-187.446097373918
20,10.034,-188.056313112076
20,10.035,-188.66532458378
20,10.036,-189.273108204695
20,10.037,-189.879640722156
20,10.038,-190.484899220093
20,10.039,-191.088861123731
20,10.04,-191.691504204047
20,10.041,-192.292806582008
20,10.042,-192.892746732566
20,10.043,-193.491303488425
20,10.044,-194.088456043572
20,10.045,-194.684183956574
20,10.046,-195.278467153642
20,10.047,-195.871285931461
20,10.048,-196.46262095979
20,10.049,-197.052453283825
20,10.05,-197.640764326343
30,9.95,123.116415141318
30,9.951,122.472446370686
30,9.952,121.826874594175
30,9.953,121.17972507947
30,9.954,120.531023523241
30,9.955,119.880796046788
30,9.956,119.229069191441
30,9.957,118.575869913696
