"interElementDistance [mm]","Freq [GHz]","cang_deg(St(port2_T1,port1_T1)) [deg]"
10,9.95,-37.5567458502584
10,9.951,-38.1760165048177
10,9.952,-38.7973804970887
10,9.953,-39.4208157649992
10,9.954,-40.0462996980023
10,9.955,-40.6738091391813
10,9.956,-41.3033203876785
10,9.957,-41.9348092014636
10,9.958,-42.5682508004231
10,9.959,-43.2036198697838
10,9.96,-43.8408905638701
10,9.961,-44.4800365101884
10,9.962,-45.1210308138441
10,9.963,-45.7638460622894
10,9.964,-46.4084543303947
10,9.965,-47.0548271858515
10,9.966,-47.7029356948915
10,9.967,-48.3527504283386
10,9.968,-49.0042414679681
10,9.969,-49.6573784131849
10,9.97,-50.312130388015
10,9.971,-50.9684660483993
10,9.972,-51.626353589794
10,9.973,-52.285760755065
10,9.974,-52.9466548426764
10,9.975,-53.6090027151658
10,9.976,-54.2727708078966
10,9.977,-54.9379251380924
10,9.978,-55.6044313141298
10,9.979,-56.2722545451001
10,9.98,-56.9413596506208
10,9.981,-57.6117110708939
10,9.982,-58.2832728770047
10,9.983,-58.9560087814522
10,9.984,-59.6298821488995
10,9.985,-60.3048560071427
10,9.986,-60.9808930582815
10,9.987,-61.6579556900953
10,9.988,-62.3360059875992
10,9.989,-63.0150057447871
10,9.99,-63.6949164765422
10,9.991,-64.3756994307095
10,9.992,-65.057315600324
10,9.993,-65.7397257359781
10,9.994,-66.4228903583262
10,9.995,-67.1067697707133
10,9.996,-67.7913240719153
10,9.997,-68.4765131689924
10,9.998,-69.1622967902316
10,9.999,-69.8486344981794
10,10,-70.53548570275
10,10.001,-71.2228096744048
10,10.002,-71.9105655573873
10,10.003,-72.5987123830072
10,10.004,-73.2872090829682
10,10.005,-73.9760145027222
10,10.006,-74.6650874148472
10,10.007,-75.3543865324398
10,10.008,-76.0438705225107
10,10.009,-76.7334980193694
10,10.01,-77.4232276380083
10,10.011,-78.113017987453
10,10.012,-78.8028276840812
10,10.013,-79.4926153649186
10,10.014,-80.1823397008691
10,10.015,-80.8719594098983
10,10.016,-81.5614332701557
10,10.017,-82.2507201330229
10,10.018,-82.9397789360831
10,10.019,-83.6285687160055
10,10.02,-84.3170486213381
10,10.021,-85.0051779251986
10,10.022,-85.6929160378527
10,10.023,-86.3802225191902
10,10.024,-87.0670570910641
10,10.025,-87.7533796495141
10,10.026,-88.4391502768506
10,10.027,-89.124329253596
10,10.028,-89.8088770702813
10,10.029,-90.4927544390894
10,10.03,-91.1759223053393
10,10.031,-91.858341858804
10,10.032,-92.5399745448523
10,10.033,-93.220782075431
10,10.034,-93.9007264398455
10,10.035,-94.579769915367
10,10.036,-95.2578750776408
10,10.037,-95.9350048108993
10,10.038,-96.6111223179759
10,10.039,-97.2861911301092
10,10.04,-97.9601751165362
10,10.041,-98.6330384938703
10,10.042,-99.304745835263
10,10.043,-99.9752620793353
10,10.044,-100.644552538888
10,10.045,-101.312582909376
10,10.046,-101.979319277151
10,10.047,-102.644728127459
10,10.048,-103.308776352207
10,10.049,-103.971431257474
10,10.05,-104.632660570781
11,9.95,-44.4134387910662
11,9.951,-45.0476248974348
11,9.952,-45.6837184325282
11,9.953,-46.3216934865459
11,9.954,-46.961523623575
11,9.955,-47.603181885861
11,9.956,-48.2466407984021
11,9.957,-48.8918723738807
11,9.958,-49.5388481179095
11,9.959,-50.1875390346055
11,9.96,-50.8379156324879
11,9.961,-51.4899479306896
11,9.962,-52.1436054654889
11,9.963,-52.7988572971542
11,9.964,-53.4556720170937
11,9.965,-54.114017755316
11,9.966,-54.7738621881838
11,9.967,-55.4351725464752
11,9.968,-56.0979156237254
11,9.969,-56.7620577848581
11,9.97,-57.4275649751001
11,9.971,-58.0944027291641
11,9.972,-58.7625361807053
11,9.973,-59.4319300720346
11,9.974,-60.1025487640892
11,9.975,-60.7743562466502
11,9.976,-61.4473161487966
11,9.977,-62.1213917495999
11,9.978,-62.7965459890335
11,9.979,-63.4727414791066
11,9.98,-64.1499405152024
11,9.981,-64.8281050876166
11,9.982,-65.5071968932886
11,9.983,-66.1871773477163
11,9.984,-66.8680075970415
11,9.985,-67.5496485303039
11,9.986,-68.2320607918468
11,9.987,-68.9152047938759
11,9.988,-69.599040729148
11,9.989,-70.2835285837937
11,9.99,-70.968628150256
11,9.991,-71.654299040337
11,9.992,-72.3405006983489
11,9.993,-73.0271924143498
11,9.994,-73.7143333374641
11,9.995,-74.401882489274
11,9.996,-75.0897987772678
11,9.997,-75.7780410083501
11,9.998,-76.4665679023852
11,9.999,-77.1553381057802
11,10,-77.8443102050877
11,10.001,-78.5334427406286
11,10.002,-79.2226942201163
11,10.003,-79.9120231322776
11,10.004,-80.6013879604646
11,10.005,-81.2907471962408
11,10.006,-81.9800593529375
11,10.007,-82.669282979174
11,10.008,-83.3583766723279
11,10.009,-84.0472990919433
11,10.01,-84.7360089730863
11,10.011,-85.4244651396161
11,10.012,-86.1126265173724
11,10.013,-86.8004521472901
11,10.014,-87.4879011983958
11,10.015,-88.1749329807086
11,10.016,-88.8615069580277
11,10.017,-89.5475827605965
11,10.018,-90.2331201976375
11,10.019,-90.9180792697522
11,10.02,-91.6024201811787
11,10.021,-92.2861033519
11,10.022,-92.9690894295868
11,10.023,-93.6513393013924
11,10.024,-94.3328141055581
11,10.025,-95.0134752428569
11,10.026,-95.6932843878468
11,10.027,-96.3722034999348
11,10.028,-97.0501948342458
11,10.029,-97.7272209522931
11,10.03,-98.4032447324391
11,10.031,-99.0782293801451
11,10.032,-99.7521384379958
11,10.033,-100.42493579552
11,10.034,-101.096585698762
11,10.035,-101.767052759633
11,10.036,-102.436301965025
11,10.037,-103.104298685675
11,10.038,-103.771008684793
11,10.039,-104.436398126438
11,10.04,-105.100433583637
11,10.041,-105.763082046249
11,10.042,-106.424310928572
11,10.043,-107.084088076683
11,10.044,-107.74238177551
11,10.045,-108.399160755641
11,10.046,-109.054394199858
11,10.047,-109.708051749394
11,10.048,-110.360103509922
11,10.049,-111.010520057258
11,10.05,-111.659272442793
12,9.95,-49.256679645924
12,9.951,-49.9011686885298
12,9.952,-50.5474921976358
12,9.953,-51.1956223437983
12,9.954,-51.8455307799148
12,9.955,-52.4971886464912
12,9.956,-53.150566577228
12,9.957,-53.8056347049395
12,9.958,-54.4623626677824
12,9.959,-55.1207196158044
12,9.96,-55.7806742178097
12,9.961,-56.4421946685298
12,9.962,-57.1052486961036
12,9.963,-57.7698035698601
12,9.964,-58.4358261083955
12,9.965,-59.1032826879475
12,9.966,-59.7721392510498
12,9.967,-60.4423613154802
12,9.968,-61.1139139834744
12,9.969,-61.7867619512134
12,9.97,-62.4608695185777
12,9.971,-63.1362005991538
12,9.972,-63.8127187304961
12,9.973,-64.4903870846273
12,9.974,-65.1691684787782
12,9.975,-65.8490253863552
12,9.976,-66.5299199481249
12,9.977,-67.2118139836191
12,9.978,-67.8946690027352
12,9.979,-68.5784462175406
12,9.98,-69.2631065542598
12,9.981,-69.9486106654424
12,9.982,-70.6349189423021
12,9.983,-71.3219915272183
12,9.984,-72.0097883263873
12,9.985,-72.6982690226209
12,9.986,-73.3873930882749
12,9.987,-74.0771197983111
12,9.988,-74.7674082434659
12,9.989,-75.4582173435338
12,9.99,-76.1495058607445
12,9.991,-76.841232413228
12,9.992,-77.533355488563
12,9.993,-78.2258334573894
12,9.994,-78.9186245870856
12,9.995,-79.6116870554954
12,9.996,-80.3049789646936
12,9.997,-80.9984583547915
12,9.998,-81.6920832177576
12,9.999,-82.3858115112572
12,10,-83.0796011724934
12,10.001,-83.7734101320487
12,10.002,-84.4671963277081
12,10.003,-85.1609177182617
12,10.004,-85.8545322972789
12,10.005,-86.5479981068372
12,10.006,-87.2412732512055
12,10.007,-87.9343159104703
12,10.008,-88.6270843540955
12,10.009,-89.3195369544012
12,10.01,-90.0116321999727
12,10.011,-90.703328708966
12,10.012,-91.3945852423125
12,10.013,-92.0853607168328
12,10.014,-92.7756142182143
12,10.015,-93.4653050138761
12,10.016,-94.154392565701
12,10.017,-94.8428365426278
12,10.018,-95.5305968330952
12,10.019,-96.2176335573328
12,10.02,-96.9039070794928
12,10.021,-97.5893780196114
12,10.022,-98.2740072653898
12,10.023,-98.9577559838054
12,10.024,-99.6405856325177
12,10.025,-100.322457971092
12,10.026,-101.003335072014
12,10.027,-101.683179331497
12,10.028,-102.361953480076
12,10.029,-103.03962059298
12,10.03,-103.71614410028
12,10.031,-104.391487796803
12,10.032,-105.065615851808
12,10.033,-105.738492818426
12,10.034,-106.410083642846
12,10.035,-107.080353673252
12,10.036,-107.749268668506
12,10.037,-108.416794806559
12,10.038,-109.082898692616
12,10.039,-109.747547367015
12,10.04,-110.410708312841
12,10.041,-111.072349463262
12,10.042,-111.732439208593
12,10.043,-112.390946403061
12,10.044,-113.047840371307
12,10.045,-113.703090914585
12,10.046,-114.356668316674
12,10.047,-115.008543349509
12,10.048,-115.658687278504
12,10.049,-116.307071867593
12,10.05,-116.953669383972
