Frequency (GHz),Phase (deg)
9.95,-8.44037664251957
9.951,-9.12648171063482
9.952,-9.81419129699347
9.953,-10.5034804384841
9.954,-11.1943238042154
9.955,-11.8866956998822
9.956,-12.580570072275
9.957,-13.2759205139495
9.958,-13.9727202680291
9.959,-14.6709422331525
9.96,-15.3705589685632
9.961,-16.0715426993284
9.962,-16.7738653216944
9.963,-17.4774984085711
9.964,-18.1824132151392
9.965,-18.8885806845852
9.966,-19.5959714539489
9.967,-20.3045558600995
9.968,-21.0143039458149
9.969,-21.7251854659756
9.97,-22.4371698938697
9.971,-23.1502264275973
9.972,-23.8643239965841
9.973,-24.5794312681884
9.974,-25.2955166544094
9.975,-26.0125483186895
9.976,-26.7304941828044
9.977,-27.4493219338515
9.978,-28.1689990313156
9.979,-28.8894927142274
9.98,-29.6107700084007
9.981,-30.3327977337509
9.982,-31.055542511693
9.983,-31.7789707726182
9.984,-32.5030487634408
9.985,-33.2277425552232
9.986,-33.9530180508671
9.987,-34.6788409928823
9.988,-35.4051769712151
9.989,-36.1319914311495
9.99,-36.8592496812711
9.991,-37.5869169014939
9.992,-38.3149581511529
9.993,-39.0433383771533
9.994,-39.7720224221822
9.995,-40.5009750329785
9.996,-41.2301608686547
9.997,-41.9595445090834
9.998,-42.689090463328
9.999,-43.4187631781319
10.0,-44.1485270464542
10.001,-44.8783464160599
10.002,-45.6081855981533
10.003,-46.3380088760576
10.004,-47.0677805139427
10.005,-47.7974647655896
10.006,-48.5270258831972
10.007,-49.2564281262297
10.008,-49.9856357702973
10.009,-50.7146131160654
10.01,-51.4433244982068
10.011,-52.1717342943709
10.012,-52.8998069341762
10.013,-53.6275069082424
10.014,-54.3547987772213
10.015,-55.081647180853
10.016,-55.8080168470349
10.017,-56.5338726008975
10.018,-57.2591793738828
10.019,-57.9839022128253
10.02,-58.7080062890305
10.021,-59.431456907345
10.022,-60.154219515207
10.023,-60.8762597116938
10.024,-61.5975432565299
10.025,-62.318036079081
10.026,-63.03770428731
10.027,-63.7565141766927
10.028,-64.4744322390928
10.029,-65.191425171588
10.03,-65.9074598852395
10.031,-66.6225035138008
10.032,-67.3365234223522
10.033,-68.0494872158809
10.034,-68.7613627477591
10.035,-69.4721181281515
10.036,-70.1817217323225
10.037,-70.8901422088476
10.038,-71.5973484877213
10.039,-72.3033097883514
10.04,-73.0079956274336
10.041,-73.7113758267043
10.042,-74.4134205205632
10.043,-75.1141001635548
10.044,-75.8133855377111
10.045,-76.5112477597396
10.046,-77.2076582880604
10.047,-77.9025889296771
10.048,-78.5960118468811
10.049,-79.2878995637848
10.05,-79.9782249726729
