"interElementDistance [mm]","Freq [GHz]","cang_deg(St(port2_T1,port1_T1)) [deg]"
10,9.95,-38.6592535088329
10,9.951,-39.2825349874149
10,9.952,-39.9078709712227
10,9.953,-40.5352383208419
10,9.954,-41.1646133481768
10,9.955,-41.7959718192274
10,9.956,-42.4292889571991
10,9.957,-43.0645394459612
10,9.958,-43.7016974338345
10,9.959,-44.3407365377204
10,9.96,-44.9816298475715
10,9.961,-45.6243499311932
10,9.962,-46.2688688393847
10,9.963,-46.915158111414
10,9.964,-47.5631887808197
10,9.965,-48.2129313815471
10,9.966,-48.8643559544016
10,9.967,-49.5174320538352
10,9.968,-50.1721287550406
10,9.969,-50.828414661362
10,9.97,-51.4862579120174
10,9.971,-52.1456261901193
10,9.972,-52.8064867309986
10,9.973,-53.4688063308166
10,9.974,-54.1325513554649
10,9.975,-54.7976877497457
10,9.976,-55.4641810468198
10,9.977,-56.1319963779289
10,9.978,-56.8010984823657
10,9.979,-57.4714517177022
10,9.98,-58.1430200702561
10,9.981,-58.8157671657912
10,9.982,-59.4896562804451
10,9.983,-60.1646503518742
10,9.984,-60.8407119906027
10,9.985,-61.5178034915761
10,9.986,-62.1958868458975
10,9.987,-62.8749237527533
10,9.988,-63.5548756315001
10,9.989,-64.2357036339206
10,9.99,-64.9173686566266
10,9.991,-65.5998313536038
10,9.992,-66.2830521488931
10,9.993,-66.9669912493877
10,9.994,-67.6516086577474
10,9.995,-68.3368641854141
10,9.996,-69.0227174657157
10,9.997,-69.7091279670615
10,9.998,-70.3960550062014
10,9.999,-71.0834577615531
10,10,-71.77129528658
10,10.001,-72.4595265232162
10,10.002,-73.1481103153221
10,10.003,-73.8370054221649
10,10.004,-74.5261705319178
10,10.005,-75.2155642751604
10,10.006,-75.905145238378
10,10.007,-76.5948719774499
10,10.008,-77.2847030311168
10,10.009,-77.9745969344107
10,10.01,-78.6645122320605
10,10.011,-79.3544074918388
10,10.012,-80.0442413178515
10,10.013,-80.7339723637813
10,10.014,-81.4235593460398
10,10.015,-82.1129610568501
10,10.016,-82.8021363772426
10,10.017,-83.4910442899551
10,10.018,-84.1796438922294
10,10.019,-84.8678944085005
10,10.02,-85.5557552029713
10,10.021,-86.2431857920647
10,10.022,-86.9301458567388
10,10.023,-87.616595254681
10,10.024,-88.3024940323429
10,10.025,-88.98780243684
10,10.026,-89.6724809276915
10,10.027,-90.3564901883988
10,10.028,-91.0397911378593
10,10.029,-91.7223449416109
10,10.03,-92.4041130228972
10,10.031,-93.0850570735516
10,10.032,-93.7651390646868
10,10.033,-94.4443212572112
10,10.034,-95.122566212127
10,10.035,-95.7998368006403
10,10.036,-96.4760962140595
10,10.037,-97.1513079734845
10,10.038,-97.8254359392838
10,10.039,-98.4984443203518
10,10.04,-99.1702976831414
10,10.041,-99.8409609604738
10,10.042,-100.510399460119
10,10.043,-101.17857887314
10,10.044,-101.845465282007
10,10.045,-102.511025168464
10,10.046,-103.175225421161
10,10.047,-103.83803334304
10,10.048,-104.499416658466
10,10.049,-105.15934352012
10,10.05,-105.817782515636
15,9.95,-68.7410839770791
15,9.951,-69.3941813690378
15,9.952,-70.0487064556639
15,9.953,-70.7046297196887
15,9.954,-71.3619212447389
15,9.955,-72.020550721631
15,9.956,-72.6804874548908
15,9.957,-73.3417003695105
15,9.958,-74.0041580179189
15,9.959,-74.6678285871769
15,9.96,-75.3326799063938
15,9.961,-75.9986794543533
15,9.962,-76.6657943673546
15,9.963,-77.3339914472613
15,9.964,-78.0032371697511
15,9.965,-78.6734976927705
15,9.966,-79.3447388651781
15,9.967,-80.0169262355913
15,9.968,-80.6900250614105
15,9.969,-81.364000318029
15,9.97,-82.0388167082257
15,9.971,-82.7144386717247
15,9.972,-83.3908303949308
15,9.973,-84.067955820823
15,9.974,-84.7457786590104
15,9.975,-85.424262395941
15,9.976,-86.103370305255
15,9.977,-86.7830654582887
15,9.978,-87.4633107347061
15,9.979,-88.1440688332686
15,9.98,-88.8253022827269
15,9.981,-89.5069734528321
15,9.982,-90.1890445654619
15,9.983,-90.8714777058541
15,9.984,-91.5542348339382
15,9.985,-92.2372777957653
15,9.986,-92.9205683350211
15,9.987,-93.604068104628
15,9.988,-94.287738678413
15,9.989,-94.971541562851
15,9.99,-95.6554382088649
15,9.991,-96.33939002368
15,9.992,-97.0233583827295
15,9.993,-97.707304641594
15,9.994,-98.3911901479788
15,9.995,-99.0749762537148
15,9.996,-99.7586243267742
15,9.997,-100.442095763305
15,9.998,-101.12535199966
15,9.999,-101.808354524426
15,10,-102.491064890441
15,10.001,-103.173444726788
15,10.002,-103.855455750766
15,10.003,-104.537059779823
15,10.004,-105.218218743448
15,10.005,-105.898894695007
15,10.006,-106.579049823527
15,10.007,-107.258646465409
15,10.008,-107.93764711607
15,10.009,-108.616014441497
15,10.01,-109.293711289717
15,10.011,-109.970700702167
15,10.012,-110.64694592495
15,10.013,-111.322410419994
15,10.014,-111.997057876078
15,10.015,-112.670852219725
15,10.016,-113.343757625972
15,10.017,-114.015738528986
15,10.018,-114.68675963253
15,10.019,-115.356785920268
15,10.02,-116.025782665912
15,10.021,-116.693715443191
15,10.022,-117.36055013563
15,10.023,-118.026252946163
15,10.024,-118.690790406531
15,10.025,-119.354129386495
15,10.026,-120.016237102834
15,10.027,-120.677081128134
15,10.028,-121.336629399356
15,10.029,-121.994850226183
15,10.03,-122.651712299135
15,10.031,-123.307184697448
15,10.032,-123.961236896713
15,10.033,-124.613838776275
15,10.034,-125.264960626375
15,10.035,-125.914573155046
15,10.036,-126.562647494741
15,10.037,-127.209155208711
15,10.038,-127.854068297112
15,10.039,-128.497359202842
15,10.04,-129.139000817116
15,10.041,-129.778966484753
15,10.042,-130.417230009205
15,10.043,-131.053765657292
15,10.044,-131.688548163669
15,10.045,-132.321552735009
15,10.046,-132.952755053901
15,10.047,-133.582131282474
15,10.048,-134.209658065725
15,10.049,-134.835312534582
15,10.05,-135.45907230867
20,9.95,-125.624900408031
20,9.951,-126.235210039975
20,9.952,-126.846780121768
20,9.953,-127.45959114105
20,9.954,-128.073623234325
20,9.955,-128.688856188543
20,9.956,-129.305269442878
20,9.957,-129.922842090735
20,9.958,-130.541552881958
20,9.959,-131.161380225258
20,9.96,-131.782302190866
20,9.961,-132.404296513399
20,9.962,-133.02734059496
20,9.963,-133.651411508459
20,9.964,-134.276486001158
20,9.965,-134.902540498453
20,9.966,-135.529551107881
20,9.967,-136.157493623361
20,9.968,-136.786343529663
20,9.969,-137.416076007115
20,9.97,-138.046665936536
20,9.971,-138.678087904405
20,9.972,-139.310316208265
20,9.973,-139.943324862346
20,9.974,-140.57708760343
20,9.975,-141.21157789694
20,9.976,-141.846768943251
20,9.977,-142.482633684235
20,9.978,-143.119144810017
20,9.979,-143.756274765959
20,9.98,-144.393995759858
20,9.981,-145.032279769351
20,9.982,-145.671098549537
20,9.983,-146.310423640805
20,9.984,-146.95022637685
20,9.985,-147.590477892901
20,9.986,-148.23114913413
