Frequency (GHz),Phase (deg)
10.0,39.17547607421875
10.0005,38.61406707763672
10.001,38.38226318359375
10.0015,37.72946548461914
10.002,37.49086380004883
10.0025,37.095664978027344
10.003,36.68684387207031
10.0035,36.05851364135742
10.004,35.68021011352539
10.0045,35.08591842651367
10.005,34.89749526977539
10.0055,34.343597412109375
10.006,34.03139877319336
10.0065,33.506439208984375
10.007,33.120906829833984
10.0075,32.93505096435547
10.008,32.30903244018555
10.0085,31.730262756347656
10.009,31.508119583129883
10.0095,31.161474227905273
10.01,30.534818649291992
10.0105,30.220998764038086
10.011,29.835847854614258
10.0115,29.79924774169922
10.012,29.222803115844727
10.0125,28.83957862854004
10.013,28.46306800842285
10.0135,27.97566032409668
10.014,27.71630859375
10.0145,27.334321975708008
10.015,27.11663818359375
10.0155,26.85805892944336
10.016,26.480812072753906
10.0165,25.871212005615234
10.017,25.692880630493164
10.0175,25.43413734436035
10.018,25.044124603271484
10.0185,24.72559356689453
10.019,24.49864387512207
10.0195,24.082773208618164
10.02,23.680559158325195
10.0205,23.4639835357666
10.021,22.906389236450195
10.0215,22.684093475341797
10.022,22.267993927001953
10.0225,21.966812133789062
10.023,21.447458267211914
10.0235,21.26146125793457
10.024,20.812482833862305
10.0245,20.50955581665039
10.025,20.034591674804688
10.0255,19.51129722595215
10.026,19.264976501464844
10.0265,18.756385803222656
10.027,18.38031768798828
10.0275,18.08805274963379
10.028,17.586650848388672
10.0285,17.162351608276367
10.029,16.911821365356445
10.0295,16.442676544189453
10.03,16.091894149780273
10.0305,15.547008514404297
10.031,15.060973167419434
10.0315,14.874713897705078
10.032,14.395998001098633
10.0325,14.06246280670166
10.033,13.585237503051758
10.0335,13.354248046875
10.034,12.966137886047363
10.0345,12.549128532409668
10.035,12.106558799743652
10.0355,11.801928520202637
10.036,11.329083442687988
10.0365,11.033018112182617
10.037,10.60495662689209
10.0375,10.15018367767334
10.038,9.87738037109375
10.0385,9.501477241516113
10.039,9.223700523376465
10.0395,8.833979606628418
10.04,8.353726387023926
10.0405,8.039078712463379
10.041,7.666816711425781
10.0415,7.332760334014893
10.042,6.911407470703125
10.0425,6.490738391876221
10.043,6.133556365966797
10.0435,5.856569290161133
10.044,5.5930256843566895
10.0445,5.060588836669922
10.045,4.557505130767822
10.0455,4.249892234802246
10.046,3.888364791870117
10.0465,3.5429799556732178
10.047,3.219221591949463
10.0475,2.746680736541748
10.048,2.4240567684173584
10.0485,1.9179999828338623
10.049,1.4830578565597534
10.0495,1.1467678546905518
10.05,0.570357084274292
10.0505,0.3581520915031433
10.051,0.041729286313056946
10.0515,-0.5310606956481934
10.052,-0.8500428199768066
10.0525,-1.4591020345687866
10.053,-1.6894962787628174
10.0535,-2.1916446685791016
10.054,-2.560373306274414
10.0545,-3.0919265747070312
10.055,-3.151008129119873
10.0555,-3.6849396228790283
10.056,-3.9922425746917725
10.0565,-4.440013885498047
10.057,-4.927694797515869
10.0575,-5.50844144821167
10.058,-5.7556352615356445
10.0585,-6.0290656089782715
10.059,-6.473618984222412
10.0595,-6.9700140953063965
10.06,-7.306274890899658
10.0605,-7.648996353149414
10.061,-7.981325149536133
10.0615,-8.352715492248535
10.062,-8.65975570678711
10.0625,-9.210301399230957
10.063,-9.670489311218262
10.0635,-10.074429512023926
10.064,-10.324999809265137
10.0645,-10.70964241027832
10.065,-11.143172264099121
10.0655,-11.70510196685791
10.066,-12.07065486907959
10.0665,-12.391630172729492
10.067,-12.61125659942627
10.0675,-13.07243537902832
10.068,-13.613015174865723
10.0685,-14.073431968688965
10.069,-14.432157516479492
10.0695,-14.828154563903809
10.07,-15.17729663848877
10.0705,-15.653340339660645
10.071,-15.920069694519043
10.0715,-16.509841918945312
10.072,-16.724185943603516
10.0725,-17.400617599487305
10.073,-17.65297508239746
10.0735,-18.048431396484375
10.074,-18.426551818847656
10.0745,-18.7684268951416
10.075,-19.18151092529297
10.0755,-19.710189819335938
10.076,-19.854610443115234
10.0765,-20.35257911682129
10.077,-20.65598487854004
10.0775,-21.023643493652344
10.078,-21.4592342376709
10.0785,-21.854429244995117
10.079,-22.181127548217773
10.0795,-22.61155891418457
10.08,-22.851768493652344
10.0805,-23.37470054626465
10.081,-23.611886978149414
10.0815,-24.023534774780273
10.082,-24.563037872314453
10.0825,-25.021541595458984
10.083,-25.258821487426758
10.0835,-25.591163635253906
10.084,-26.0129451751709
10.0845,-26.370121002197266
10.085,-26.57985496520996
10.0855,-27.208581924438477
10.086,-27.35584831237793
10.0865,-27.725276947021484
10.087,-28.20928955078125
10.0875,-28.77423858642578
10.088,-28.93661880493164
10.0885,-29.33799171447754
10.089,-30.06729507446289
10.0895,-30.46531105041504
10.09,-30.60091781616211
10.0905,-31.168636322021484
10.091,-31.306594848632812
10.0915,-31.96747398376465
10.092,-32.281898498535156
10.0925,-32.83393478393555
10.093,-33.11309051513672
10.0935,-33.45915222167969
10.094,-34.04744338989258
10.0945,-34.39550018310547
10.095,-34.78455352783203
10.0955,-35.20463943481445
10.096,-35.67582321166992
10.0965,-35.86720657348633
10.097,-36.50212860107422
10.0975,-36.86153030395508
10.098,-37.438499450683594
10.0985,-37.82265090942383
10.099,-38.130455017089844
10.0995,-38.47066879272461
10.1,-38.75225830078125
