Frequency (GHz),Phase (deg)
10.0,-22.48176383972168
10.0005,-22.8487491607666
10.001,-22.85218048095703
10.0015,-22.95090675354004
10.002,-23.199195861816406
10.0025,-23.453359603881836
10.003,-23.55208969116211
10.0035,-23.749141693115234
10.004,-23.819843292236328
10.0045,-24.025726318359375
10.005,-24.07892608642578
10.0055,-24.400989532470703
10.006,-24.425148010253906
10.0065,-24.831073760986328
10.007,-24.791648864746094
10.0075,-25.054691314697266
10.008,-25.138172149658203
10.0085,-25.38181495666504
10.009,-25.586938858032227
10.0095,-25.864919662475586
10.01,-26.11113929748535
10.0105,-26.285404205322266
10.011,-26.630935668945312
10.0115,-26.704204559326172
10.012,-26.92334747314453
10.0125,-27.16053009033203
10.013,-27.358850479125977
10.0135,-27.750381469726562
10.014,-27.977310180664062
10.0145,-28.214797973632812
10.015,-28.44770050048828
10.0155,-28.798839569091797
10.016,-28.911333084106445
10.0165,-29.163982391357422
10.017,-29.25832748413086
10.0175,-29.63938331604004
10.018,-29.714649200439453
10.0185,-30.085023880004883
10.019,-30.24734878540039
10.0195,-30.496191024780273
10.02,-30.608491897583008
10.0205,-30.831344604492188
10.021,-31.10719871520996
10.0215,-31.1010684967041
10.022,-31.614763259887695
10.0225,-31.78850555419922
10.023,-31.884910583496094
10.0235,-32.02925491333008
10.024,-32.191627502441406
10.0245,-32.428138732910156
10.025,-32.70507049560547
10.0255,-32.784610748291016
10.026,-33.02699661254883
10.0265,-33.18008804321289
10.027,-33.45686340332031
10.0275,-33.68423843383789
10.028,-33.89057922363281
10.0285,-34.18852996826172
10.029,-34.303428649902344
10.0295,-34.52021789550781
10.03,-34.840728759765625
10.0305,-35.04360580444336
10.031,-35.30215072631836
10.0315,-35.50461959838867
10.032,-35.76806640625
10.0325,-36.008235931396484
10.033,-36.20380401611328
10.0335,-36.319766998291016
10.034,-36.65188217163086
10.0345,-36.857425689697266
10.035,-37.129398345947266
10.0355,-37.316123962402344
10.036,-37.60429000854492
10.0365,-37.74994659423828
10.037,-38.078758239746094
10.0375,-38.16771697998047
10.038,-38.42518997192383
10.0385,-38.60800552368164
10.039,-38.8972053527832
10.0395,-39.182579040527344
10.04,-39.353397369384766
10.0405,-39.56794738769531
10.041,-39.76201629638672
10.0415,-39.865638732910156
10.042,-40.28084182739258
10.0425,-40.41044235229492
10.043,-40.596527099609375
10.0435,-40.86553955078125
10.044,-41.112491607666016
10.0445,-41.38833999633789
10.045,-41.608680725097656
10.0455,-41.73954391479492
10.046,-42.03601837158203
10.0465,-42.3499641418457
10.047,-42.48537826538086
10.0475,-42.73652267456055
10.048,-42.94894027709961
10.0485,-43.21367645263672
10.049,-43.3051643371582
10.0495,-43.6363525390625
10.05,-43.93478012084961
10.0505,-43.96458435058594
10.051,-44.31290817260742
10.0515,-44.56055450439453
10.052,-44.772029876708984
10.0525,-45.0269775390625
10.053,-45.071311950683594
10.0535,-45.43327713012695
10.054,-45.62226104736328
10.0545,-45.78553009033203
10.055,-46.0985107421875
10.0555,-46.30366897583008
10.056,-46.6634407043457
10.0565,-46.68464279174805
10.057,-47.065208435058594
10.0575,-47.13187026977539
10.058,-47.47237777709961
10.0585,-47.747467041015625
10.059,-47.99519729614258
10.0595,-48.14128112792969
10.06,-48.59562301635742
10.0605,-48.721397399902344
10.061,-48.96963119506836
10.0615,-49.128849029541016
10.062,-49.48896789550781
10.0625,-49.66553497314453
10.063,-49.94663619995117
10.0635,-50.13882064819336
10.064,-50.571414947509766
10.0645,-50.8090934753418
10.065,-50.94724655151367
10.0655,-51.20366287231445
10.066,-51.53513717651367
10.0665,-51.69414520263672
10.067,-51.69343566894531
10.0675,-52.00707244873047
10.068,-52.19614791870117
10.0685,-52.58667755126953
10.069,-52.75484848022461
10.0695,-53.00725555419922
10.07,-53.22407913208008
10.0705,-53.33882522583008
10.071,-53.656959533691406
10.0715,-53.92228317260742
10.072,-54.052486419677734
10.0725,-54.3095703125
10.073,-54.44110107421875
10.0735,-54.80210876464844
10.074,-55.020137786865234
10.0745,-55.254844665527344
10.075,-55.45762634277344
10.0755,-55.61765670776367
10.076,-55.90524673461914
10.0765,-56.222904205322266
10.077,-56.494205474853516
10.0775,-56.59568405151367
10.078,-56.991756439208984
10.0785,-57.184513092041016
10.079,-57.529659271240234
10.0795,-57.76365280151367
10.08,-58.062721252441406
10.0805,-58.38271713256836
10.081,-58.59981918334961
10.0815,-58.82394027709961
10.082,-59.0360221862793
10.0825,-59.308719635009766
10.083,-59.60079574584961
10.0835,-59.86919021606445
10.084,-59.97916793823242
10.0845,-60.38618850708008
10.085,-60.513912200927734
10.0855,-60.78849411010742
10.086,-60.884464263916016
10.0865,-61.143585205078125
10.087,-61.38827133178711
10.0875,-61.57538986206055
10.088,-61.761314392089844
10.0885,-62.00703048706055
10.089,-62.16474914550781
10.0895,-62.37870407104492
10.09,-62.56199264526367
10.0905,-62.84107208251953
10.091,-63.04929733276367
10.0915,-63.357540130615234
10.092,-63.67734146118164
10.0925,-63.85561752319336
10.093,-63.93234634399414
10.0935,-64.23097229003906
10.094,-64.4803237915039
10.0945,-64.70448303222656
10.095,-65.01390838623047
10.0955,-65.28053283691406
10.096,-65.55067443847656
10.0965,-65.7481460571289
10.097,-66.13575744628906
10.0975,-66.34965515136719
10.098,-66.72408294677734
10.0985,-66.73278045654297
10.099,-67.04229736328125
10.0995,-67.36013793945312
10.1,-67.5970687866211
