"interElementDistance [mm]","Freq [GHz]","cang_deg(St(port2_T1,port1_T1)) [deg]"
20,9.95,61.7387768388993
20,9.951,61.3540770168909
20,9.952,60.9690413612795
20,9.953,60.5836817152153
20,9.954,60.1980100235884
20,9.955,59.8120383304259
20,9.956,59.4257787762266
20,9.957,59.0392435952269
20,9.958,58.65244511261
20,9.959,58.2653957416532
20,9.96,57.878107980814
20,9.961,57.4905944107623
20,9.962,57.1028676913544
20,9.963,56.714940558553
20,9.964,56.3268258212975
20,9.965,55.9385363583207
20,9.966,55.5500851149217
20,9.967,55.1614850996855
20,9.968,54.7727493811651
20,9.969,54.3838910845183
20,9.97,53.9949233881038
20,9.971,53.6058595200419
20,9.972,53.2167127547365
20,9.973,52.8274964093669
20,9.974,52.4382238403466
20,9.975,52.0489084397535
20,9.976,51.6595636317371
20,9.977,51.2702028688963
20,9.978,50.880839628642
20,9.979,50.4914874095366
20,9.98,50.1021597276203
20,9.981,49.7128701127223
20,9.982,49.3236321047619
20,9.983,48.9344592500393
20,9.984,48.545365097524
20,9.985,48.1563631951366
20,9.986,47.7674670860337
20,9.987,47.3786903048898
20,9.988,46.9900463741894
20,9.989,46.6015488005229
20,9.99,46.2132110708931
20,9.991,45.8250466490358
20,9.992,45.437068971753
20,9.993,45.0492914452655
20,9.994,44.6617274415853
20,9.995,44.2743902949098
20,9.996,43.8872932980434
20,9.997,43.500449698843
20,9.998,43.1138726966971
20,9.999,42.727575439035
20,10,42.3415710178729
20,10.001,41.9558724663934
20,10.002,41.5704927555677
20,10.003,41.1854447908184
20,10.004,40.8007414087232
20,10.005,40.4163953737683
20,10.006,40.032419375147
20,10.007,39.6488260236072
20,10.008,39.2656278483515
20,10.009,38.8828372939931
20,10.01,38.5004667175603
20,10.011,38.1185283855638
20,10.012,37.7370344711231
20,10.013,37.355997051144
20,10.014,36.9754281035686
20,10.015,36.595339504682
20,10.016,36.2157430264841
20,10.017,35.8366503341272
20,10.018,35.4580729834219
20,10.019,35.0800224184086
20,10.02,34.7025099689987
20,10.021,34.325546848685
20,10.022,33.9491441523264
20,10.023,33.5733128539969
20,10.024,33.1980638049157
20,10.025,32.823407731443
20,10.026,32.4493552331526
20,10.027,32.075916780979
20,10.028,31.7031027154377
20,10.029,31.3309232449201
20,10.03,30.959388444064
20,10.031,30.5885082521992
20,10.032,30.2182924718722
20,10.033,29.8487507674362
20,10.034,29.4798926637289
20,10.035,29.1117275448168
20,10.036,28.7442646528195
20,10.037,28.3775130868068
20,10.038,28.011481801771
20,10.039,27.6461796076728
20,10.04,27.2816151685632
20,10.041,26.9177970017773
20,10.042,26.5547334772001
20,10.043,26.1924328166076
20,10.044,25.8309030930758
20,10.045,25.4701522304644
20,10.046,25.1101880029675
20,10.047,24.7510180347363
20,10.048,24.3926497995689
20,10.049,24.0350906206681
20,10.05,23.6783476704652
30,9.95,-57.8621847298113
30,9.951,-58.2311574457517
30,9.952,-58.6009515183141
30,9.953,-58.9715548379489
30,9.954,-59.3429550420024
30,9.955,-59.7151395161162
30,9.956,-60.0880953957925
30,9.957,-60.4618095681315
30,9.958,-60.8362686737349
30,9.959,-61.2114591087797
30,9.96,-61.5873670272667
30,9.961,-61.9639783434378
30,9.962,-62.3412787343681
30,9.963,-62.719253642731
30,9.964,-63.0978882797344
30,9.965,-63.477167628233
30,9.966,-63.8570764460087
30,9.967,-64.2375992692294
30,9.968,-64.6187204160735
30,9.969,-65.0004239905262
30,9.97,-65.3826938863463
30,9.971,-65.7655137911983
30,9.972,-66.1488671909527
30,9.973,-66.5327373741469
30,9.974,-66.9171074366106
30,9.975,-67.3019602862496
30,9.976,-67.6872786479835
30,9.977,-68.0730450688425
30,9.978,-68.4592419232089
30,9.979,-68.8458514182093
30,9.98,-69.2328555992494
30,9.981,-69.6202363556876
30,9.982,-70.0079754266454
30,9.983,-70.3960544069502
30,9.984,-70.7844547532017
30,9.985,-71.173157789965
30,9.986,-71.5621447160767
30,9.987,-71.9513966110684
30,9.988,-72.3408944416927
30,9.989,-72.7306190685547
30,9.99,-73.1205512528372
30,9.991,-73.5106716631175
30,9.992,-73.9009608822694
30,9.993,-74.2913994144421
30,9.994,-74.6819676921134
30,9.995,-75.0726460832078
30,9.996,-75.4634148982737
30,9.997,-75.8542543977168
30,9.998,-76.2451447990764
30,9.999,-76.6360662843444
30,10,-77.026999007315
30,10.001,-77.4179231009637
30,10.002,-77.808818684844
30,10.003,-78.199665872496
30,10.004,-78.5904447788635
30,10.005,-78.9811355277069
30,10.006,-79.3717182590096
30,10.007,-79.76217313637
30,10.008,-80.1524803543708
30,10.009,-80.5426201459173
30,10.01,-80.9325727895463
30,10.011,-81.3223186166873
30,10.012,-81.7118380188732
30,10.013,-82.1011114549055
30,10.014,-82.4901194579466
30,10.015,-82.8788426425487
30,10.016,-83.2672617116088
30,10.017,-83.6553574632421
30,10.018,-84.0431107975678
30,10.019,-84.4305027234031
30,10.02,-84.8175143648604
30,10.021,-85.20412696784
30,10.022,-85.5903219064105
30,10.023,-85.9760806890825
30,10.024,-86.3613849649544
30,10.025,-86.746216529741
30,10.026,-87.1305573316706
30,10.027,-87.5143894772492
30,10.028,-87.8976952368873
30,10.029,-88.2804570503879
30,10.03,-88.6626575322877
30,10.031,-89.0442794770507
30,10.032,-89.4253058641066
30,10.033,-89.8057198627444
30,10.034,-90.185504836837
30,10.035,-90.5646443494138
30,10.036,-90.9431221670663
30,10.037,-91.3209222641917
30,10.038,-91.6980288270697
30,10.039,-92.0744262577715
30,10.04,-92.4500991778978
30,10.041,-92.8250324321477
30,10.042,-93.1992110917165
30,10.043,-93.5726204575192
30,10.044,-93.9452460632439
30,10.045,-94.3170736782293
30,10.046,-94.6880893101721
30,10.047,-95.0582792076585
30,10.048,-95.427629862525
30,10.049,-95.7961280120471
30,10.05,-96.1637606409569
40,9.95,-171.396759643746
40,9.951,-171.787719932282
40,9.952,-172.179350707407
40,9.953,-172.571643243957
40,9.954,-172.964588618487
40,9.955,-173.358177709546
40,9.956,-173.75240119805
40,9.957,-174.147249567772
40,9.958,-174.54271310593
40,9.959,-174.938781903889
40,9.96,-175.335445857975
40,9.961,-175.732694670399
40,9.962,-176.130517850296
40,9.963,-176.528904714878
40,9.964,-176.927844390703
40,9.965,-177.327325815056
40,9.966,-177.727337737451
40,9.967,-178.127868721254
40,9.968,-178.528907145411
40,9.969,-178.930441206308
40,9.97,-179.332458919745
40,9.971,-179.734948123019
40,9.972,-180.137896477144
40,9.973,-180.541291469169
40,9.974,-180.945120414632
40,9.975,-181.349370460118
40,9.976,-181.754028585941
40,9.977,-182.159081608939
40,9.978,-182.564516185388
40,9.979,-182.970318814027
40,9.98,-183.376475839199
40,9.981,-183.782973454097
40,9.982,-184.189797704131
40,9.983,-184.596934490398
40,9.984,-185.00436957326
40,9.985,-185.412088576024
40,9.986,-185.820076988732
40,9.987,-186.22832017205
40,9.988,-186.636803361253
40,9.989,-187.045511670309
40,9.99,-187.454430096059
40,9.991,-187.863543522484
40,9.992,-188.272836725063
40,9.993,-188.682294375219
40,9.994,-189.091901044844
40,9.995,-189.501641210906
40,9.996,-189.911499260129
40,9.997,-190.32145949375
40,9.998,-190.731506132346
40,9.999,-191.141623320721
40,10,-191.551795132858
40,10.001,-191.962005576935
40,10.002,-192.372238600387
40,10.003,-192.78247809502
40,10.004,-193.19270790218
40,10.005,-193.602911817954
40,10.006,-194.013073598411
40,10.007,-194.423176964886
40,10.008,-194.833205609283
40,10.009,-195.24314319941
40,10.01,-195.652973384329
40,10.011,-196.062679799734
40,10.012,-196.472246073326
40,10.013,-196.881655830212
40,10.014,-197.290892698292
40,10.015,-197.69994031366
40,10.016,-198.108782325987
40,10.017,-198.517402403902
40,10.018,-198.925784240357
40,10.019,-199.33391155797
40,10.02,-199.741768114349
40,10.021,-200.149337707389
40,10.022,-200.556604180533
40,10.023,-200.963551428003
40,10.024,-201.370163399983
40,10.025,-201.776424107768
40,10.026,-202.182317628855
40,10.027,-202.587828111991
40,10.028,-202.992939782154
40,10.029,-203.397636945484
40,10.03,-203.801903994147
40,10.031,-204.205725411128
40,10.032,-204.609085774956
40,10.033,-205.011969764358
40,10.034,-205.41436216283
40,10.035,-205.816247863128
