Frequency (GHz),Phase (deg)
9.95,91.6100813039936
9.951,91.0713055011389
9.952,90.5317272557034
9.953,89.991357964486
9.954,89.4502092057691
9.955,88.9082927387858
9.956,88.3656205031012
9.957,87.8222046178928
9.958,87.2780573811482
9.959,86.7331912687649
9.96,86.1876189335536
9.961,85.6413532041509
9.962,85.0944070838311
9.963,84.5467937492216
9.964,83.998526548923
9.965,83.4496190020264
9.966,82.9000847965375
9.967,82.3499377876925
9.968,81.7991919961816
9.969,81.2478616062703
9.97,80.6959609638178
9.971,80.1435045741988
9.972,79.5905071001211
9.973,79.0369833593471
9.974,78.4829483223119
9.975,77.9284171096429
9.976,77.3734049895834
9.977,76.8179273753113
9.978,76.2619998221667
9.979,75.7056380247781
9.98,75.1488578140947
9.981,74.5916751543242
9.982,74.0341061397748
9.983,73.4761669916058
9.984,72.9178740544881
9.985,72.3592437931731
9.986,71.800292788977
9.987,71.2410377361727
9.988,70.6814954383053
9.989,70.121682804418
9.99,69.5616168452025
9.991,69.0013146690694
9.992,68.4407934781414
9.993,67.8800705641763
9.994,67.3191633044155
9.995,66.7580891573652
9.996,66.1968656585148
9.997,65.6355104159859
9.998,65.0740411061269
9.999,64.5124754690474
10.0,63.9508313041007
10.001,63.3891264653118
10.002,62.8273788567597
10.003,62.2656064279165
10.004,61.7038271689401
10.005,61.1420591059347
10.006,60.5803202961735
10.007,60.0186288232898
10.008,59.4570027924407
10.009,58.8954603254522
10.01,58.3340195559329
10.011,57.7726986243807
10.012,57.2115156732768
10.013,56.6504888421579
10.014,56.0896362626978
10.015,55.5289760537792
10.016,54.9685263165676
10.017,54.4083051295913
10.018,53.8483305438326
10.019,53.2886205778297
10.02,52.7291932127949
10.021,52.1700663877529
10.022,51.6112579947084
10.023,51.05278587383
10.024,50.4946678086787
10.025,49.93692152146
10.026,49.3795646683189
10.027,48.8226148346775
10.028,48.2660895306157
10.029,47.7100061862995
10.03,47.1543821474616
10.031,46.599234670937
10.032,46.0445809202613
10.033,45.4904379613157
10.034,44.9368227580523
10.035,44.3837521682748
10.036,43.8312429394952
10.037,43.2793117048594
10.038,42.7279749791472
10.039,42.1772491548506
10.04,41.627150498333
10.041,41.0776951460686
10.042,40.5288991009648
10.043,39.9807782287744
10.044,39.4333482545915
10.045,38.8866247594423
10.046,38.3406231769619
10.047,37.7953587901702
10.048,37.2508467283395
10.049,36.7071019639581
10.05,36.1641393097921
