"Freq [GHz]","ang_deg(St(antennas_T4,antennas_T1)) [deg]"
9.95,73.6613968249867
9.951,72.9543824098224
9.952,72.2453263552531
9.953,71.5342582754317
9.954,70.8212083922486
9.955,70.1062075310946
9.956,69.3892871162557
9.957,68.6704791659184
9.958,67.9498162868099
9.959,67.2273316684579
9.96,66.5030590770688
9.961,65.7770328490359
9.962,65.0492878840668
9.963,64.3198596379361
9.964,63.5887841148686
9.965,62.8560978595449
9.966,62.1218379487457
9.967,61.386041982617
9.968,60.6487480755817
9.969,59.9099948468869
9.97,59.1698214107897
9.971,58.4282673663957
9.972,57.6853727871409
9.973,56.9411782099352
9.974,56.1957246239606
9.975,55.4490534591356
9.976,54.7012065742543
9.977,53.9522262447924
9.978,53.2021551504064
9.979,52.4510363621133
9.98,51.6989133291713
9.981,50.9458298656618
9.982,50.1918301367814
9.983,49.4369586448508
9.984,48.6812602150544
9.985,47.9247799809089
9.986,47.1675633694824
9.987,46.4096560863558
9.988,45.6511041003571
9.989,44.8919536280586
9.99,44.1322511180594
9.991,43.3720432350601
9.992,42.611376843735
9.993,41.8502989924225
9.994,41.0888568966352
9.995,40.3270979224059
9.996,39.5650695694844
9.997,38.802819454384
9.998,38.0403952933068
9.999,37.2778448849481
10,36.5152160931982
10.001,35.7525568297486
10.002,34.989915036623
10.003,34.2273386686432
10.004,33.464875675838
10.005,32.702573985819
10.006,31.9404814861291
10.007,31.1786460065789
10.008,30.4171153015853
10.009,29.6559370325362
10.01,28.8951587501705
10.011,28.1348278770177
10.012,27.3749916898989
10.013,26.6156973024842
10.014,25.8569916479613
10.015,25.0989214617969
10.016,24.3415332646164
10.017,23.5848733452184
10.018,22.8289877437381
10.019,22.0739222349707
10.02,21.3197223118689
10.021,20.5664331692325
10.022,19.8140996876075
10.023,19.0627664173893
10.024,18.3124775631763
10.025,17.5632769683527
10.026,16.8152080999376
10.027,16.0683140337063
10.028,15.3226374395936
10.029,14.5782205673925
10.03,13.8351052327637
10.031,13.0933328035644
10.032,12.3529441865163
10.033,11.6139798141971
10.034,10.8764796324068
10.035,10.1404830878832
10.036,9.40602911639678
10.037,8.67315613122567
10.038,7.94190201201885
10.039,7.21230409405995
10.04,6.48439915793883
10.041,5.75822341963451
10.042,5.03381252101548
10.043,4.31120152077122
10.044,3.59042488576809
10.045,2.87151648284727
10.046,2.15450957105616
10.047,1.43943679432859
10.048,0.726330174608998
10.049,0.0152211054235419
10.05,-0.693859654096821
