"Freq [GHz]","ang_deg(St(antennas_T4,antennas_T1)) [deg]"
9.95,-179.485834245002
9.951,179.76907480376
9.952,179.022452064661
9.953,178.274336354337
9.954,177.524767041897
9.955,176.773784041315
9.956,176.021427803432
9.957,175.267739307557
9.958,174.512760052684
9.959,173.756532048307
9.96,172.999097804834
9.961,172.240500323608
9.962,171.480783086513
9.963,170.719990045187
9.964,169.958165609825
9.965,169.195354637578
9.966,168.431602420551
9.967,167.666954673388
9.968,166.901457520463
9.969,166.135157482669
9.97,165.3681014638
9.971,164.600336736549
9.972,163.831910928103
9.973,163.062872005354
9.974,162.293268259727
9.975,161.523148291631
9.976,160.752560994531
9.977,159.981555538662
9.978,159.210181354383
9.979,158.438488115182
9.98,157.666525720338
9.981,156.894344277259
9.982,156.121994083497
9.983,155.34952560845
9.984,154.576989474779
9.985,153.804436439536
9.986,153.031917375022
9.987,152.259483249392
9.988,151.487185107027
9.989,150.715074048672
9.99,149.943201211377
9.991,149.171617748252
9.992,148.400374808042
9.993,147.629523514557
9.994,146.859114945975
9.995,146.089200114025
9.996,145.319829943089
9.997,144.551055249224
9.998,143.782926719148
9.999,143.015494889195
10,142.248810124271
10.001,141.482922596825
10.002,140.717882265871
10.003,139.953738856076
10.004,139.190541836934
10.005,138.428340402065
10.006,137.667183448643
10.007,136.907119556997
10.008,136.148196970389
10.009,135.390463575016
10.01,134.633966880229
10.011,133.878753999029
10.012,133.124871628837
10.013,132.372366032554
10.014,131.621283019973
10.015,130.871667929523
10.016,130.123565610384
10.017,129.377020404995
10.018,128.632076131976
10.019,127.888776069473
10.02,127.14716293896
10.021,126.4072788895
10.022,125.669165482499
10.023,124.932863676949
10.024,124.198413815201
10.025,123.465855609255
10.026,122.735228127602
10.027,122.00656978262
10.028,121.279918318535
10.029,120.555310799967
10.03,119.832783601053
10.031,119.112372395174
10.032,118.394112145286
10.033,117.678037094849
10.034,116.964180759379
10.035,116.252575918618
10.036,115.543254609318
10.037,114.836248118653
10.038,114.13158697825
10.039,113.429300958845
10.04,112.729419065555
10.041,112.031969533777
10.042,111.336979825688
10.043,110.644476627371
10.044,109.95448584653
10.045,109.267032610819
10.046,108.582141266745
10.047,107.899835379169
10.048,107.220137731373
10.049,106.543070325689
10.05,105.86865438469
