"Freq [GHz]","ang_deg(St(antennas_T4,antennas_T1)) [deg]"
9.95,151.011540849756
9.951,150.237218635763
9.952,149.461215325487
9.953,148.683574123521
9.954,147.904338860214
9.955,147.123553984709
9.956,146.341264557617
9.957,145.557516243299
9.958,144.772355301774
9.959,143.98582858023
9.96,143.197983504124
9.961,142.408868067878
9.962,141.618530825141
9.963,140.827020878624
9.964,140.034387869497
9.965,139.24068196633
9.966,138.445953853581
9.967,137.650254719608
9.968,136.853636244217
9.969,136.056150585718
9.97,135.2578503675
9.971,134.458788664103
9.972,133.659018986791
9.973,132.858595268621
9.974,132.057571848995
9.975,131.256003457706
9.976,130.453945198462
9.977,129.651452531891
9.978,128.848581258036
9.979,128.045387498319
9.98,127.241927677006
9.981,126.438258502151
9.982,125.634436946033
9.983,124.830520225094
9.984,124.026565779388
9.985,123.222631251534
9.986,122.418774465215
9.987,121.615053403188
9.988,120.811526184873
9.989,120.00825104349
9.99,119.20528630279
9.991,118.402690353381
9.992,117.600521628678
9.993,116.7988385805
9.994,115.997699654324
9.995,115.197163264236
9.996,114.397287767595
9.997,113.598131439439
9.998,112.799752446661
9.999,112.002208821991
10,111.205558437805
10.001,110.4098589798
10.002,109.615167920561
10.003,108.821542493069
10.004,108.029039664164
10.005,107.237716108018
10.006,106.44762817964
10.007,105.65883188846
10.008,104.871382872016
10.009,104.085336369809
10.01,103.300747197323
10.011,102.517669720285
10.012,101.73615782919
10.013,100.956264914106
10.014,100.178043839846
10.015,99.4015469214933
10.016,98.6268259003451
10.017,97.8539319203049
10.018,97.0829155047552
10.019,96.313826533947
10.02,95.5467142229353
10.021,94.7816271000976
10.022,94.0186129862704
10.023,93.2577189745112
10.024,92.4989914105501
10.025,91.7424758739202
10.026,90.9882171598173
10.027,90.2362592617039
10.028,89.4866453546786
10.029,88.7394177796293
10.03,87.9946180281938
10.031,87.2522867285401
10.032,86.51246363199
10.033,85.7751876004719
10.034,85.0404965948548
10.035,84.3084276641357
10.036,83.5790169355104
10.037,82.8522996053211
10.038,82.1283099308872
10.039,81.4070812232219
10.04,80.6886458406361
10.041,79.9730351832222
10.042,79.260279688215
10.043,78.5504088262302
10.044,77.843451098363
10.045,77.1394340341485
10.046,76.438384190363
10.047,75.7403271506641
10.048,75.0452875260494
10.049,74.3532889561193
10.05,73.664354111132
