"Freq [GHz]","ang_deg(St(antennas_T4,antennas_T1)) [deg]"
9.95,38.1149426260331
9.951,37.4040418467541
9.952,36.6903539516816
9.953,35.9739089374594
9.954,35.2547376764327
9.955,34.5328719117885
9.956,33.8083442520015
9.957,33.0811881645676
9.958,32.3514379690522
9.959,31.6191288294392
9.96,30.8842967457888
9.961,30.1469785452175
9.962,29.4072118721988
9.963,28.6650351781973
9.964,27.9204877106502
9.965,27.1736095012981
9.966,26.4244413538923
9.967,25.6730248312701
9.968,24.9194022418387
9.969,24.1636166254678
9.97,23.4057117388079
9.971,22.6457320400632
9.972,21.8837226732249
9.973,21.1197294517973
9.974,20.3537988420275
9.975,19.5859779456661
9.976,18.816314482283
9.977,18.0448567711499
9.978,17.2716537127309
9.979,16.4967547697875
9.98,15.7202099481347
9.981,14.9420697770676
9.982,14.1623852894832
9.983,13.3812080017221
9.984,12.5985898931611
9.985,11.8145833855712
9.986,11.029241322279
9.987,10.2426169471393
9.988,9.45476388336459
9.989,8.66573611221498
9.99,7.8755879515875
9.991,7.08437403452194
9.992,6.29214928764247
9.993,5.49896890956755
9.994,4.70488834929899
9.995,3.90996328461702
9.996,3.11424960050453
9.997,2.31780336760697
9.998,1.52068082076417
9.999,0.722938337618424
10,-0.0753675826765094
10.001,-0.874180340636734
10.002,-1.67344325749643
10.003,-2.47309959611258
10.004,-3.27309258171733
10.005,-4.07336542249532
10.006,-4.87386132998278
10.007,-5.67452353927699
10.008,-6.47529532904346
10.009,-7.27612004130581
10.01,-8.07694110103231
10.011,-8.87770203548342
10.012,-9.67834649332517
10.013,-10.478818263524
10.014,-11.2790612939754
10.015,-12.0790197098953
10.016,-12.8786378319616
10.017,-13.6778601941962
10.018,-14.4766315615899
10.019,-15.2748969474663
10.02,-16.0726016305871
10.021,-16.8696911719903
10.022,-17.666111431558
10.023,-18.4618085843319
10.024,-19.2567291365427
10.025,-20.0508199413874
10.026,-20.8440282145301
10.027,-21.6363015493331
10.028,-22.42758793182
10.029,-23.2178357553698
10.03,-24.0069938351386
10.031,-24.7950114222097
10.032,-25.5818382174641
10.033,-26.3674243851983
10.034,-27.1517205664433
10.035,-27.9346778920248
10.036,-28.7162479953371
10.037,-29.496383024842
10.038,-30.2750356562877
10.039,-31.0521591046436
10.04,-31.8277071357474
10.041,-32.6016340776664
10.042,-33.3738948317696
10.043,-34.1444448835007
10.044,-34.9132403128592
10.045,-35.6802378045745
10.046,-36.4453946579808
10.047,-37.2086687965782
10.048,-37.9700187772822
10.049,-38.729403799358
10.05,-39.4867837130316
