"Freq [GHz]","ang_deg(St(antennas_T4,antennas_T1)) [deg]"
9.95,41.5425961620459
9.951,40.8367497188547
9.952,40.128878615645
9.953,39.4190137690503
9.954,38.7071867133135
9.955,37.993429595309
9.956,37.2777751691697
9.957,36.5602567904991
9.958,35.8409084101934
9.959,35.1197645678564
9.96,34.3968603848106
9.961,33.6722315567117
9.962,32.9459143457616
9.963,32.2179455725227
9.964,31.4883626073406
9.965,30.7572033613693
9.966,30.0245062772147
9.967,29.2903103191791
9.968,28.554654963135
9.969,27.817580186017
9.97,27.0791264549366
9.971,26.3393347159346
9.972,25.5982463823638
9.973,24.8559033229207
9.974,24.1123478493218
9.975,23.3676227036356
9.976,22.6217710452827
9.977,21.8748364376948
9.978,21.1268628346634
9.979,20.3778945663653
9.98,19.6279763250862
9.981,18.877153150648
9.982,18.1254704155455
9.983,17.372973809805
9.984,16.6197093255781
9.985,15.8657232414716
9.986,15.1110621066373
9.987,14.355772724614
9.988,13.5999021369556
9.989,12.843497606636
9.99,12.0866066012559
9.991,11.3292767760601
9.992,10.5715559567714
9.993,9.8134921222655
9.994,9.05513338708904
9.995,8.29652798383856
9.996,7.53772424541787
9.997,6.77877058717413
9.998,6.01971548894379
9.999,5.26060747700911
10,4.50149510598722
10.001,3.74242694065874
10.002,2.98345153775867
10.003,2.22461742774036
10.004,1.46597309652314
10.005,0.707566967248305
10.006,-0.0505526179496636
10.007,-0.808337416140536
10.008,-1.56573930174686
10.009,-2.32271028462246
10.01,-3.07920252806671
10.011,-3.83516836673241
10.012,-4.59056032442315
10.013,-5.34533113178488
10.014,-6.09943374383662
10.015,-6.85282135735778
10.016,-7.60544742810637
10.017,-8.35726568785167
10.018,-9.10823016120671
10.019,-9.85829518224954
10.02,-10.6074154109189
10.021,-11.355545849168
10.022,-12.1026418568563
10.023,-12.8486591673885
10.024,-13.5935539030529
10.025,-14.3372825900806
10.026,-15.0798021733909
10.027,-15.8210700310161
10.028,-16.561043988198
10.029,-17.2996823311425
10.03,-18.0369438204199
10.031,-18.7727877040007
10.032,-19.5071737299114
10.033,-20.2400621585251
10.034,-20.9714137744377
10.035,-21.7011898979577
10.036,-22.429352396179
10.037,-23.1558636936401
10.038,-23.8806867825606
10.039,-24.6037852326469
10.04,-25.3251232004597
10.041,-26.044665438343
10.042,-26.7623773029095
10.043,-27.4782247630707
10.044,-28.1921744076212
10.045,-28.90419345236
10.046,-29.614249746761
10.047,-30.3223117801781
10.048,-31.0283486875924
10.049,-31.7323302549003
10.05,-32.4342269237389
