"Freq [GHz]","ang_deg(St(antennas_T4,antennas_T1)) [deg]"
9.95,57.1669899615685
9.951,56.4622322300026
9.952,55.7552913730586
9.953,55.0461948800555
9.954,54.3349708694839
9.955,53.621648086497
9.956,52.9062559000444
9.957,52.1888242996299
9.958,51.4693838917129
9.959,50.7479658957372
9.96,50.0246021397846
9.961,49.2993250558616
9.962,48.5721676748069
9.963,47.843163620824
9.964,47.112347105641
9.965,46.3797529222876
9.966,45.6454164385046
9.967,44.9093735897622
9.968,44.1716608719151
9.969,43.4323153334767
9.97,42.6913745675157
9.971,41.9488767031855
9.972,41.2048603968751
9.973,40.4593648229966
9.974,39.7124296644003
9.975,38.9640951024268
9.976,38.2144018066003
9.977,37.463390923955
9.978,36.7111040680166
9.979,35.9575833074242
9.98,35.202871154211
9.981,34.4470105517405
9.982,33.6900448623056
9.983,32.9320178543945
9.984,32.1729736896337
9.985,31.4129569094064
9.986,30.652012421163
9.987,29.8901854844146
9.988,29.1275216964377
9.989,28.364066977677
9.99,27.599867556868
9.991,26.8349699558834
9.992,26.0694209743063
9.993,25.3032676737505
9.994,24.5365573619255
9.995,23.7693375764629
9.996,23.0016560685163
9.997,22.2335607861319
9.998,21.4650998574191
9.999,20.6963215735179
10,19.927274371383
10.001,19.1580068163883
10.002,18.3885675847732
10.003,17.6190054459382
10.004,16.8493692445997
10.005,16.0797078828259
10.006,15.3100703019601
10.007,14.5405054644454
10.008,13.7710623355679
10.009,13.0017898651391
10.01,12.2327369691101
10.011,11.4639525111604
10.012,10.6954852842657
10.013,9.92738399223856
10.014,9.15969723130015
10.015,8.39247347166378
10.016,7.6257610391588
10.017,6.85960809691192
10.018,6.09406262710224
10.019,5.32917241280312
10.02,4.56498501992696
10.021,3.80154777929213
10.022,3.03890776883416
10.023,2.27711179595562
10.024,1.51620638006488
10.025,0.756237735286152
10.026,-0.00274824662116371
10.027,-0.76070601312367
10.028,-1.51759036754256
10.029,-2.27335648543393
10.03,-3.02795993070214
10.031,-3.78135667143286
10.032,-4.53350309542445
10.033,-5.28435602542893
10.034,-6.03387273404699
10.035,-6.7820109583008
10.036,-7.52872891384894
10.037,-8.27398530884055
10.038,-9.01773935739593
10.039,-9.75995079269791
10.04,-10.5005798796834
10.041,-11.2395874273272
10.042,-11.976934800509
10.043,-12.7125839314461
10.044,-13.4464973306949
10.045,-14.1786380976993
10.046,-14.9089699308931
10.047,-15.6374571373358
10.048,-16.3640646418834
10.049,-17.0887579958898
10.05,-17.8115033854285
