"Freq [GHz]","ang_deg(St(antennas_T4,antennas_T1)) [deg]"
9.95,42.3496151483572
9.951,41.6382965506785
9.952,40.9246949115031
9.953,40.2088389561314
9.954,39.4907580724593
9.955,38.7704823070731
9.956,38.0480423609411
9.957,37.3234695846828
9.958,36.5967959734412
9.959,35.8680541613429
9.96,35.1372774155487
9.961,34.4044996299055
9.962,33.6697553181916
9.963,32.9330796069627
9.964,32.1945082280058
9.965,31.4540775103947
9.966,30.7118243721654
9.967,29.9677863115946
9.968,29.2220013981103
9.969,28.4745082628248
9.97,27.7253460886947
9.971,26.9745546003243
9.972,26.2221740534058
9.973,25.4682452238148
9.974,24.7128093963574
9.975,23.9559083531823
9.976,23.1975843618663
9.977,22.4378801631696
9.978,21.676838958487
9.979,20.9145043969845
9.98,20.1509205624419
9.981,19.3861319598058
9.982,18.6201835014594
9.983,17.8531204932188
9.984,17.0849886200702
9.985,16.3158339316466
9.986,15.5457028274661
9.987,14.774642041924
9.988,14.0026986290687
9.989,13.2299199471522
9.99,12.4563536429771
9.991,11.6820476360462
9.992,10.9070501025186
9.993,10.131409458995
9.994,9.35517434612863
9.995,8.57839361208001
9.996,7.80111629582738
9.997,7.02339161033058
9.998,6.2452689255761
9.999,5.46679775150026
10,4.68802772080867
10.001,3.90900857169532
10.002,3.12979013047998
10.003,2.35042229417077
10.004,1.57095501295844
10.005,0.791438272662983
10.006,0.0119220771354982
10.007,-0.76754356937296
10.008,-1.54690867986174
10.009,-2.32612330223298
10.01,-3.10513753695627
10.011,-3.88390155470675
10.012,-4.66236561397617
10.013,-5.44048007866636
10.014,-6.21819543561189
10.015,-6.99546231205405
10.016,-7.77223149304299
10.017,-8.54845393875468
10.018,-9.32408080171068
10.019,-10.0990634438923
10.02,-10.8733534537369
10.021,-11.6469026630027
10.022,-12.4196631634824
10.023,-13.1915873235772
10.024,-13.9626278046849
10.025,-14.7327375774233
10.026,-15.5018699376553
10.027,-16.2699785223099
10.028,-17.0370173249892
10.029,-17.8029407113501
10.03,-18.5677034342453
10.031,-19.3312606486131
10.032,-20.0935679260992
10.033,-20.8545812694237
10.034,-21.6142571264414
10.035,-22.3725524039212
10.036,-23.1294244810115
10.037,-23.8848312223922
10.038,-24.6387309911
10.039,-25.3910826610161
10.04,-26.1418456290055
10.041,-26.8909798267009
10.042,-27.6384457319259
10.043,-28.3842043797375
10.044,-29.1282173730941
10.045,-29.8704468931274
10.046,-30.610855709024
10.047,-31.3494071874974
10.048,-32.0860653018527
10.049,-32.8207946406361
10.05,-33.5535604158623
