"Freq [GHz]","ang_deg(St(port4_T1,port1_T1)) [deg]"
9.95,-130.253145793968
9.951,-130.951838750187
9.952,-131.652756874036
9.953,-132.355873755421
9.954,-133.061162350323
9.955,-133.768594982881
9.956,-134.478143347835
9.957,-135.189778513346
9.958,-135.903470924187
9.959,-136.619190405298
9.96,-137.336906165738
9.961,-138.056586802993
9.962,-138.778200307683
9.963,-139.501714068641
9.964,-140.227094878373
9.965,-140.954308938904
9.966,-141.683321868005
9.967,-142.414098705806
9.968,-143.146603921786
9.969,-143.880801422143
9.97,-144.616654557552
9.971,-145.354126131291
9.972,-146.093178407753
9.973,-146.833773121323
9.974,-147.575871485632
9.975,-148.31943420318
9.976,-149.064421475322
9.977,-149.810793012613
9.978,-150.558508045522
9.979,-151.307525335481
9.98,-152.057803186305
9.981,-152.809299455935
9.982,-153.561971568532
9.983,-154.315776526904
9.984,-155.070670925253
9.985,-155.826610962248
9.986,-156.583552454408
9.987,-157.341450849797
9.988,-158.100261242015
9.989,-158.859938384482
9.99,-159.620436705005
9.991,-160.381710320622
9.992,-161.14371305271
9.993,-161.906398442355
9.994,-162.669719765969
9.995,-163.433630051144
9.996,-164.198082092734
9.997,-164.963028469162
9.998,-165.728421558928
9.999,-166.494213557319
10,-167.260356493298
10.001,-168.026802246574
10.002,-168.793502564832
10.003,-169.560409081113
10.004,-170.327473331328
10.005,-171.094646771904
10.006,-171.861880797534
10.007,-172.629126759036
10.008,-173.396335981284
10.009,-174.163459781218
10.01,-174.930449485917
10.011,-175.697256450703
10.012,-176.463832077272
10.013,-177.230127831864
10.014,-177.9960952634
10.015,-178.761686021624
10.016,-179.526851875206
10.017,179.708455270195
10.018,178.944283353933
10.019,178.180680142458
10.02,177.41769321148
10.021,176.655369928243
10.022,175.893757433936
10.023,175.132902626216
10.024,174.372852141913
10.025,173.613652339877
10.026,172.85534928403
10.027,172.097988726605
10.028,171.341616091603
10.029,170.586276458481
10.03,169.832014546075
10.031,169.078874696788
10.032,168.326900861059
10.033,167.576136582085
10.034,166.826624980882
10.035,166.07840874163
10.036,165.331530097355
10.037,164.586030815947
10.038,163.841952186524
10.039,163.099335006157
10.04,162.358219566971
10.041,161.618645643627
10.042,160.880652481193
10.043,160.144278783419
10.044,159.409562701425
10.045,158.676541822806
10.046,157.945253161167
10.047,157.215733146087
10.048,156.488017613535
10.049,155.762141796717
10.05,155.038140317395
